ID,Age,DaysSinceCreation,NameHash,DocIDHash,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
26718,35,617,0x252EB1E9F71CD3DA074ABB886CBE807D3AD4BF8C3E5B747D234CA273125A5F73,0x2548AD065BE0EBA7181841CF3E91CC881788C834EEB6371B22B5F0758C48590B,172,210,28,0,0,1,4,2,619,619,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0
62960,58,176,0xF95E1E077463835DBF347DC43A463989D8BBD9B2D477F606782EE237D09755FA,0xC6252239EF88FC52A521F43B5FF9C821796B821DF270112B9DD9A2D72810DE53,5,148,28.2,0,0,1,1,1,177,177,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
28859,35,586,0xDFB74EA59D53012BD8BB44F4F981BA8F38734FC0DD453B6F608387AA2794C3D4,0xD62AAF2D11996018B937FA8BA8E1288C397835F384ECBA78CED7F23E13695933,11,120,1,0,0,1,1,1,587,587,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
70622,5,120,0xE53F96CAAF04DF2100E5458F63F89D2ADFB1A76EFB9758C65FE532449606C9D9,0xA0578E59502919C3ADFC757D5E6A8A5A385201B6EA849FB41CDF30C91639191C,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Other,0,0,0,0,0,0,1,1,0,0,0,0,0
15831,64,815,0xCAEF420C4AC689F5FFE9B63D4A965015152ED6CBD1B4C74D80FD9DE223DDF98A,0x50A1A0CA723F9A40485103A95E1C32CF4F96416D78D679BFF8CD9CE3EE0C912C,41,202.82,14,0,0,1,2,2,817,817,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
80782,40,36,0x0B85FD7C39D7398C315C98D48CC5BD3865CD0A948063A751D2B5CE0E38F3D0A7,0xB1FAEFC1BEC867F6702DF2D445BC7B2A4EF12C851727BD1447F84C5C68D50D27,0,0,0,0,0,0,0,0,-1,-1,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
57726,61,217,0xD20B01D24856795353C503EFFDA5664A295E9403835AB827E0165FF3B03516F3,0xEEC92C30C0E29ABCC1EC84D629C1BD76CE51ECA606057D7E7A6B3681FAF76EA8,71,278,113,0,0,1,4,2,219,219,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
10809,27,890,0x67AF4C31584DDDED6358D4A3E0C6B7DBC65632A23BC82DC48F69E94B32BAF77C,0x73053065500C6F8EB7992E7BD699DE1D219A71C220B460FBB24BCCF89CD44466,93,63.75,10.5,0,0,1,2,1,891,891,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
68291,63,135,0xDE6A061BBE193A6D0D9E3B989334376B9DE2985C3BAB570122FFAB574BBF9493,0xA0E7D39343C9707BF45466E4989D5F17C9CD5A7884375791DEE3FBE9BB09DB9A,168,370.8,51.2,0,0,1,8,4,139,139,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
20754,51,726,0x5C4B853D4C7EDC6132AE58EC7AFF501666607B3AF1BFE34BB9F0C4E7A2484023,0x105653280429769F6F3BCC34892DF044B1B4FBD3268FBDC63398A1C1739EA9D4,90,365.4,63,0,0,1,9,3,729,729,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
82573,32,12,0xE42977D4B8A31C4BEB77E33D5D94522F4A25003DCA398BF2B5F2430526A4C730,0xCBD0782E21CDFBEDE635D460C6D69C48CC8E509ED6167940DC2138466C784EBF,88,126,28,0,0,1,4,2,14,14,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
22311,53,686,0x67ECE8F263B427D423C4962DC3A5B8FCCBA896EC5CF9584A2FCBE121AF22F0EA,0x7198EF67A57DB885C515324E86080CD7E04EF61F6E34CD894BBB3A519A0186BE,0,164.72,235.4,0,0,1,4,2,688,688,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
61198,50,189,0xC1164BA606A9E8926E9E138F28513228D21859B6E86CA21DBC74282FE51B25FD,0x73434EC6E2D51DDD5E73A00F512D0240617714C15C541AE54954709C48D7663C,0,0,0,0,0,0,0,0,-1,-1,Direct,Direct,0,0,0,0,0,1,0,1,0,0,0,0,0
78451,47,60,0x5E7FF945CA618BFCFBDDF955FB0DE349F221FF45E462168F0B1E5D81B17A01C8,0x10545D5C0930255E3F3CE8EE014B02C31857EF3D93ED8963FC685C866D8348E3,108,670.4,152.5,0,0,1,16,4,64,64,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
